Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
The Straight Story,1999.0,03 Nov 1999,"Biography, Drama",112 min,David Lynch,"John Roach, Mary Sweeney","Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz",G,8.0,86.0,"103,218",Nominated for 1 Oscar. 19 wins & 40 nominations total,"$6,203,044","United Kingdom, France, United States",English,"Seventy-three year old Alvin Straight is a simple living and stubborn man who lives on his social security. He needs to do things on his own terms. He is in failing health. Both his hips are shot, which requires him to use two canes to walk. He is diabetic. He has emphysema from years of smoking. And he has poor eyesight. Beyond the obvious maladies, he doesn't tell his mentally disabled daughter Rose, who lives with him, of many of these issues. He learns that his brother Lyle Straight, from who he has been estranged for ten years, has just suffered a heart attack. Because of both his and Lyle's mortality, Alvin wants to make peace with his brother before it's too late, which means traveling from his home in the rural town of Laurens, Iowa to Lyle's home in rural Mount Zion, Wisconsin. As with other issues in his life, he needs to make the trip on his own terms, which means on his own. As he doesn't possess a driver's license and since his eyesight is bad, he decides to make the trip driving his aged riding lawn mover towing a trailer which will carry his gear and double as his sleeping quarters. After one mis-start, he is on his way. On that trip, he affects and is affected by those he encounters. But he just hopes that he can finish the trip the way he started it, and before either he, Lyle or the lawn mower give out for good.",https://m.media-amazon.com/images/M/MV5BZjdjNWZhY2UtMDRiYS00M2NhLThiZmQtYTA0MzI4ZWIyYzY4XkEyXkFqcGc@._V1_SX300.jpg
October Sky,1999.0,19 Feb 1999,"Biography, Drama, Family",108 min,Joe Johnston,"Homer H. Hickam Jr., Lewis Colick","Jake Gyllenhaal, Chris Cooper, Laura Dern",PG,7.8,71.0,"101,053",4 wins & 11 nominations total,"$32,570,685",United States,English,"In a 1950's mining town called Coalwood, Homer Hickam is a kid with only one future in sight, to work in the local coal mine like his father. However in October 1957, everything changes when the first artificial satellite, Sputnik goes into orbit. With that event, Homer becomes inspired to learn how to build rockets. With his friends and the local nerd, Homer sets to do just that by trial and a lot of error. Unfortunately, most of the town and especially Homer's father thinks that they are wasting their time. Only one teacher in the high school understands their efforts and lets them know that they could become contenders in the national science fair with college scholarships being the prize. Now the gang must learn to perfect their craft and overcome the many problems facing them as they shoot for the stars.",https://m.media-amazon.com/images/M/MV5BMDU0M2I3ODUtZDAyYy00NThhLWIwNjQtZGNmNTNjZDIxODM4XkEyXkFqcGc@._V1_SX300.jpg
Tarzan,1999.0,18 Jun 1999,"Animation, Adventure, Comedy",88 min,"Chris Buck, Kevin Lima","Edgar Rice Burroughs, Tab Murphy, Bob Tzudiker","Tony Goldwyn, Minnie Driver, Brian Blessed",G,7.3,80.0,"256,012",Won 1 Oscar. 11 wins & 23 nominations total,"$171,091,819","United States, Japan",English,"The movie is about the life of Tarzan. Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",https://m.media-amazon.com/images/M/MV5BZjM5OWM5NzktMTIzYy00OTk1LWIyYzAtYzBhNWY3NWQ2Y2Y0XkEyXkFqcGc@._V1_SX300.jpg
"Dude, Where's My Car?",2000.0,15 Dec 2000,"Comedy, Mystery, Sci-Fi",83 min,Danny Leiner,Philip Stark,"Ashton Kutcher, Seann William Scott, Jennifer Garner",PG-13,5.5,30.0,"148,146",1 win & 6 nominations total,"$46,729,800",United States,"English, Japanese, French","Roommates Jesse and Chester, both who have more than just a few cards short of a full deck, are stoner dudes who don't even do their jobs as pizza delivery guys well. They awaken one morning having little recollection of what they did the previous night, due to being wasted. They discover that their kitchen is full of prepackaged pudding, how they got all the pudding they are unaware. From a telephone message they receive, they come to the realization that at some point during the previous night they were at a party at the house of their girlfriends, twins Wanda and Wilma, and that today is their one year anniversary, which they did remember as they already bought the twins gifts. But the worst thing in not remembering what happened last night is that Jesse's car is missing. In trying to find out what happened to the car, they believe they have to recreate the feeling and mindset of last night, meaning getting wasted all over again. In trying to find the car, they, being the types that area easily distracted, get sidetracked by one item after another, most specifically the potential of having sex with hot babes (sex with which Wanda and Wilma have not yet provided them), and learning that they apparently had a suitcase filled with $200,000 last night, the suitcase and therefore the money to which they don't know what happened. During their day of discovery, they also end up encountering one group of alien wannabes, and two groups of actual aliens, all three groups who are after the continuum transfunctioner which they believe Jesse and Chester have. Jesse and Chester don't know where it is let alone what it is, but these three groups seem to be willing to do whatever necessary to get it from Jesse and Chester. In the process, Jesse and Chester may have to make decisions which may not only save their lives and those of Wanda, Wilma and their best friend Nelson, a zen-master, but that of the entire universe. But most importantly, they may actually find Jesse's car after all is said and done.",https://m.media-amazon.com/images/M/MV5BNmE3NmUxNjUtYzIzMS00MmEzLWJjNjUtNmQ5OTcxMDJkMGNiXkEyXkFqcGc@._V1_SX300.jpg
The Perfect Storm,2000.0,30 Jun 2000,"Action, Adventure, Drama",130 min,Wolfgang Petersen,"Sebastian Junger, William D. Wittliff","George Clooney, Mark Wahlberg, John C. Reilly",PG-13,6.5,59.0,"182,193",Nominated for 2 Oscars. 4 wins & 28 nominations total,"$182,618,434",United States,English,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.",https://m.media-amazon.com/images/M/MV5BZmYyZjJiMTQtMzQyNi00ZjBkLTg4MjAtNWYxOWVlNmFlMGNhXkEyXkFqcGc@._V1_SX300.jpg
U-571,2000.0,21 Apr 2000,"Action, War",116 min,Jonathan Mostow,"Jonathan Mostow, Sam Montgomery, David Ayer","Matthew McConaughey, Bill Paxton, Harvey Keitel",PG-13,6.6,62.0,"89,287",Won 1 Oscar. 4 wins & 10 nominations total,"$77,122,415","France, United States, Italy","English, German","In the midst of World War II, the battle below the seas rages. The Nazis have the upper edge as the Allies are unable to crack their war codes. That is, until a wrecked U-boat sends out an SOS signal, and the Allies realize this is their chance to seize the 'enigma coding machine'. But masquerading as Nazis and taking over the U-boat is the smallest of their problems. The action really begins when they get stranded on the U-boat.",https://m.media-amazon.com/images/M/MV5BNmU2MjAxZGQtMGY3NC00ODYwLThkZWQtNzhjMDhhOTVlMWYyXkEyXkFqcGc@._V1_SX300.jpg
What Lies Beneath,2000.0,21 Jul 2000,"Drama, Horror, Mystery",130 min,Robert Zemeckis,"Clark Gregg, Sarah Kernochan","Harrison Ford, Michelle Pfeiffer, Katharine Towne",PG-13,6.6,51.0,"138,928",7 wins & 7 nominations total,"$155,464,351",United States,English,"Norman Spencer, a university research scientist, is growing more and more concerned about his wife, Claire, a retired concert cellist who a year ago was involved in a serious auto accident, and who has just sent off her daughter Caitlin (Norman's stepdaughter) to college. Now, Claire reports hearing voices and witnessing eerie occurrences in and around their lakeside Vermont home, including seeing the face of a young woman reflected in water. An increasingly frightened Claire thinks the phenomena have something to do with the couple living next door, especially since the wife has disappeared without apparent explanation. At her husband's urging, Claire starts to see a therapist; she tells him she thinks the house is being haunted by a ghost. His advice? Try to make contact. Enlisting the help of her best friend, Jody, and a ouija board, Claire seeks to find out the truth of What Lies Beneath.",https://m.media-amazon.com/images/M/MV5BOTRlMGVhOWYtMmNhZS00Y2Y4LTg3N2EtMmE4YTcwNGM3NTAwXkEyXkFqcGc@._V1_SX300.jpg
Quills,2000.0,15 Dec 2000,"Biography, Drama",124 min,Philip Kaufman,Doug Wright,"Geoffrey Rush, Kate Winslet, Joaquin Phoenix",R,7.2,70.0,"57,724",Nominated for 3 Oscars. 18 wins & 45 nominations total,"$7,065,332","United Kingdom, Germany, United States","English, Latin","The infamous writer, the Marquis de Sade of eighteenth century France, is imprisoned at Charenton Insane Asylum for unmentionable activities. He manages to befriend the young Abbé de Coulmier, who runs the asylum, along with a beautiful laundress named Madeline. Things go terribly wrong when the Abbe finds out that the Marquis' books are being secretly published. Emperor Napoleon contemplates sending Dr. Royer-Collard to oversee the asylum, a man famed for his torturous punishments. It could mean the end of Charenton and possibly the Marquis.",https://m.media-amazon.com/images/M/MV5BOTFiMGQxOWItZDMxOS00NjU1LWEwZTEtMzQ1ZDA4N2U3NjY1XkEyXkFqcGc@._V1_SX300.jpg
Shadow of the Vampire,2000.0,26 Jan 2001,"Drama, Horror",92 min,E. Elias Merhige,Steven Katz,"John Malkovich, Willem Dafoe, Udo Kier",R,6.9,71.0,"44,792",Nominated for 2 Oscars. 16 wins & 30 nominations total,"$8,293,784","United Kingdom, Luxembourg, Spain","English, German, Luxembourgish","Shadow of the Vampire is a film about the making of a German all time classic silent horror-movie from 1922 called Nosferatu-Eine Symphonie des Grauens (Nosferatu-a Symphony of Horror). The production of Nosferatu had to deal with a lot of strange things (some crew members disappeared, some died). This movie focuses on the difficult relationship between Murnau, the director, and Schreck, the lead actor.",https://m.media-amazon.com/images/M/MV5BODcwOWM4MDEtMTMxMS00Zjg0LWJiNmYtYzE5MDFlMWEyYTdhXkEyXkFqcGc@._V1_SX300.jpg
Where the Heart Is,2000.0,28 Apr 2000,"Comedy, Drama, Romance",120 min,Matt Williams,"Lowell Ganz, Babaloo Mandel, Billie Letts","Natalie Portman, James Frain, Ashley Judd",PG-13,6.7,30.0,"37,056",1 win & 2 nominations,"$33,772,838",United States,English,"Novalee Nation (Natalie Portman) is a pregnant seventeen-year-old from Tennessee heading to California with her boyfriend Willie Jack Pickens (Dylan Bruno), but is abandoned by him at a Walmart in Sequoyah, Oklahoma. Novalee has no job, no skills, and only five dollars and fifty-five cents in her pocket, so she secretly lives in the Walmart until her daughter Americus (Mackenzie Fitzgerald) is born six weeks later. Novalee decides to raise her daughter and rebuild her life in Sequoyah, Oklahoma, with the help of eccentric but kind strangers. Based on the best-selling novel by Billie Letts.",https://m.media-amazon.com/images/M/MV5BZjVkODJiZmQtZTM4MS00OGY5LWE5NDktNTQ1MThjZmI0MmU1XkEyXkFqcGc@._V1_SX300.jpg
What Women Want,2000.0,15 Dec 2000,"Comedy, Fantasy, Romance",127 min,Nancy Meyers,"Josh Goldsmith, Cathy Yuspa, Diane Drake","Mel Gibson, Helen Hunt, Marisa Tomei",PG-13,6.5,47.0,"228,388",5 wins & 9 nominations total,"$182,811,707",United States,English,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",https://m.media-amazon.com/images/M/MV5BZjA3ZDkzNGEtZmU1OS00YzNiLWJiMzItNTk0ZTZhOWM5ZTUxXkEyXkFqcGc@._V1_SX300.jpg
Coyote Ugly,2000.0,04 Aug 2000,"Comedy, Drama, Music",100 min,David McNally,Gina Wendkos,"Piper Perabo, Adam Garcia, John Goodman",PG-13,5.7,27.0,"123,411",4 wins & 8 nominations total,"$60,786,269",United States,English,"Sexy, romantic comedy about a girl in her early 20s named Violet Sanford going to NYC to pursue a dream of becoming a songwriter. Violet gets a ""day"" job as a bar maid at a nightclub called Coyote Ugly. Coyote Ugly is the city's newest hot spot where the employees are a team of sexy, resourceful women that provoke the clientele and press with their mischief.",https://m.media-amazon.com/images/M/MV5BYmM2NDA1ZDQtYTRjNi00NGIwLWJhZmMtM2Q3YjFmZGFjNjZhXkEyXkFqcGc@._V1_SX300.jpg
High Fidelity,2000.0,31 Mar 2000,"Comedy, Drama, Music",113 min,Stephen Frears,"Nick Hornby, D.V. DeVincentis, Steve Pink","John Cusack, Iben Hjejle, Todd Louiso",R,7.4,79.0,"193,810",Nominated for 1 BAFTA Award3 wins & 22 nominations total,"$27,287,137","United Kingdom, United States","English, Danish","Thirty-something Rob Gordon, a former club DJ, owns a not-so-lucrative used record store in Chicago. He not so much employs Barry and Dick, but rather keeps them around as they showed up at the store one day and never left. All three are vinyl and music snobs, but in different ways. Rob has a penchant for compiling top-five lists. The latest of these lists is his top-five break-ups, it spurred by the fact that his latest girlfriend, Laura, a lawyer, has just broken up with him. He believed that Laura would be the one who would last, partly as an expectation of where he would be at this stage in his life. Rob admits that there have been a few incidents in their relationship which in and of themselves could be grounds for her to want to break up. To his satisfaction, Laura is not on this top-five list. Rob feels a need not only to review the five relationships, which go back as far as middle school when he was 12, and try to come to terms with why the woman, or girl as the case may be, left him, but also, in the words of Charlie Nicholson, number four on the list, ""what it all means"" for why he has ended up where he is, which is nowhere, personally or professionally, close to what he envisioned. He also has to come to terms with what it means that Laura has moved on to Ian Raymond, a man for whom neither had any respect when they were together.",https://m.media-amazon.com/images/M/MV5BMTgxMTI1ODYyOV5BMl5BanBnXkFtZTYwNjQyOTI3._V1_SX300.jpg
